Title,Format,Developer,Publisher,Issue,Score
Street Fighter II: Turbo,SNES,Capcom,Capcom,1,9
Secret of Mana,SNES,SquareSoft,SquareSoft,4,9
Cannon Fodder,Amiga,Sensible Software,Virgin Interactive,5,9
Sam & Max Hit the Road,PC,LucasArts,LucasArts,5,9
Alone in the Dark 2,PC,Infogrames,Interplay,6,9
Mortal Kombat II,Arcade,Midway,Midway,6,9
Ganbare Goemon 2,SNES,Konami,Konami,6,9
John Madden NFL ’94,3DO,Electronic Arts,Electronic Arts,8,9
Sub-terrania,Megadrive,Zyrinx,Sega,8,9
Tempest 2000,Jaguar,Llamasoft,Atari,8,9
Pagan: Ultima VIII,PC,Origin,Electronic Arts,9,9
Wildtrax,SNES,Nintendo,Nintendo,11,9
Road Rash,3DO,Electronic Arts,Electronic Arts,13,9
Doom II: Hell On Earth,PC,Id Software,Virgin Interactive,14,9
Magic Carpet,PC,Bullfrog,Bullfrog,15,9
Little Big Adventure,PC,Adeline,Electronic Arts,16,9
Virtua Fighter,Saturn,Sega (AM2),Sega,17,9
Ridge Racer,PlayStation,Namco,Namco,17,9
Tekken,PlayStation,Namco,Namco,21,9
Full Throttle,PC,LucasArts,LucasArts,22,9
Flight Unlimited,PC,Looking Glass Studios,Virgin Interactive,22,9
Virtua Fighter Remix,Saturn,Sega (AM2),Sega,24,9
Fade to Black,PC,Delphine,Electronic Arts,26,9
Yoshi’s Island: Super Mario World 2,SNES,Nintendo,Nintendo,26,9
Virtua Fighter 2,Saturn,Sega (AM2),Sega,28,9
Hexen,PC,Raven Software,GT Interactive,28,9
Total NBA,PlayStation,SCE,SCE,30,9
Grand Prix 2,PC,Geoff Crammond,Microprose,31,9
Civilization II,PC,Sid Meier,Microprose,32,9
Terra Nova,PC,Looking Glass Studios,Virgin Interactive,32,9
Tekken 2,PlayStation,Namco,Namco,33,9
Resident Evil,PlayStation,Capcom (Production Studio 4),Capcom,33,9
Super Mario 64,N64,Nintendo,Nintendo,35,10
Pilotwings 64,N64,Paradigm Entertainment,Nintendo,35,9
Broken Sword: The Shadow of the Templars,"PC, Mac",Revolution Software,VIE,37,9
Quake,PC,Id Software,GT Interactive,38,9
Syndicate Wars,PC,Bullfrog,Electronic Arts,38,9
Waverace 64,N64,Nintendo,Nintendo,39,9
Command & Conquer: Red Alert,PC,Westwood Studios,Virgin Interactive,40,9
Privateer 2: The Darkening,PC,Origin,Origin / Electronic Arts,40,9
Tomb Raider,PlayStation,Core Design,Core Design,40,9
J-League Perfect Striker,N64,Konami,Konami,42,9
Turok: Dinosaur Hunter,N64,Iguana,Acclaim,42,9
MDK,PC,Shiny Entertainment,Interplay,43,9
Total NBA ’97,PlayStation,SCEE (Studio London),SCEE,44,9
X-Wing vs Tie Fighter,PC,LucasArts,LucasArts,45,9
Star Fox 64,N64,Nintendo,Nintendo,46,9
ISS Pro,PlayStation,Konami,Konami,46,9
Dungeon Keeper,PC,Bullfrog,Electronic Arts,46,9
X-Com: Apocalypse,PC,Mythos Games,Microprose,48,9
Goldeneye,N64,Rare,Nintendo,48,9
